KEY,VALUE
block.fullscreen.repost.fb.url,"https://www.facebook.com/v2.3/dialog/share?redirect_uri=https%3A%2F%2Fwww.facebook.com%2Fdialog%2Freturn%2Fclose&display=popup&href=http%3A%2F%2Fruslan.tech%2F&client_id=966242223397117&ret=login&sdk=joey&ext=1464299771&hash=AeYM8LqZo1kWRyU5&title=%D0%A0%D0%B0%D0%B1%D0%BE%D1%82%D0%B0%D1%8E%20%D0%BD%D0%B0%D0%BF%D1%80%D1%8F%D0%BC%D1%83%D1%8E%20%D1%81%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%D0%BE%D0%BC%20%D0%B8%20%D1%8D%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%BB%D1%8E%20%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B0!&description=IT-%D1%80%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D1%8F:%20%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%20%D0%BF%D0%BE%D0%B4%20%D0%BA%D0%BB%D1%8E%D1%87,%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5,%20%D1%81%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5,%20%D0%BA%D0%BE%D0%BD%D1%81%D0%B0%D0%BB%D1%82%D0%B8%D0%BD%D0%B3.&picture=http://ruslan.tech/img/programmer/1_fb.jpg"
BLOCK,NAVBAR
block.navbar.contact,"Contact me"
block.navbar.whatis,"Who is?"
block.navbar.programming,"Programming"
block.navbar.solutions,"Turnkey solutions"
block.navbar.consulting,"Consulting"
block.navbar.send.message,"Send message"
BLOCK,WHATIS
block.whatis.title,"Who is?"
block.whatis.desc,"Web-developer and project manager"
block.whatis.param.1.title,"Work directly"
block.whatis.param.1.desc,"On behalf of the serious company I should solve your problems for lot of money."
block.whatis.param.2.title,"Mobility"
block.whatis.param.2.desc,"Possibility of a meeting and discussion in a time off and in the convenient place."
block.whatis.param.3.title,"Familiar relations"
block.whatis.param.3.desc,"The good developer is familiar with many narrow experts ready to come to the rescue."
block.whatis.param.4.title,"Reputation"
block.whatis.param.4.desc,"The successful manager always has recommendations of happy clients. Just call and check."
block.whatis.param.5.title,"Speed"
block.whatis.param.5.desc,"Absence of intermediaries perfectly saves not only finance, but also time."
block.whatis.param.6.title,"This page is pleasant?"
block.whatis.param.6.desc,"You can easily become the owner same all in couple of days!"
BLOCK,USEIT.PROGRAMMING
block.useit.programming.title,"Programming"
block.useit.programming.price.hour.desc,"Hour of work"
block.useit.programming.price.hour.sum,"15 USD"
block.useit.programming.price.day.desc,"Day of work"
block.useit.programming.price.day.sum,"75 USD"
block.useit.programming.price.week.desc,"Week of work"
block.useit.programming.price.week.sum,"280 USD"
block.useit.programming.list.1,"Integration of payment service provider to online store"
block.useit.programming.list.2,"Making mailing to clients through WhatsApp"
block.useit.programming.list.3,"Finding bottlenecks in the slow code"
block.useit.programming.list.4,"Creation of own bot in Telegram"
block.useit.programming.list.5,"Setup of the parser of data from the rival website"
block.useit.programming.list.6,"PHP, Yii2, NodeJS, GO, MySQL, MongoDB, Redis, RabbitMQ and many other clever words =)"
BLOCK,USEIT.SOLUTIONS
block.useit.solutions.development.title,"Individual turnkey solution"
block.useit.solutions.development.price.landing.desc,"Landing page"
block.useit.solutions.development.price.landing.sum,"from 150 USD"
block.useit.solutions.development.price.catalog.desc,"Catalog"
block.useit.solutions.development.price.catalog.sum,"from 225 USD"
block.useit.solutions.development.price.site.desc,"Website with content"
block.useit.solutions.development.price.site.sum,"from 225 USD"
block.useit.solutions.development.price.shop.desc,"Online store"
block.useit.solutions.development.price.shop.sum,"from 450 USD"
block.useit.solutions.support.title,"Project support"
block.useit.solutions.support.price.development.desc,"Development"
block.useit.solutions.support.price.development.sum,"from 120 USD"
block.useit.solutions.support.price.recovery.desc,"Recovery of the non-working website"
block.useit.solutions.support.price.recovery.sum,"from 130 USD"
block.useit.solutions.support.price.support.desc,"Ensuring working capacity"
block.useit.solutions.support.price.support.sum,"from 90 USD"
block.useit.solutions.support.price.infrastructure.desc,"Infrastructure organization"
block.useit.solutions.support.price.infrastructure.sum,"from 75 USD
block.useit.solutions.support.price.doc.desc,"Drafting documentation"
block.useit.solutions.support.price.doc.sum,"from 60 USD"
block.useit.solutions.support.price.database.desc,"The user base for mailing"
block.useit.solutions.support.price.database.sum,"from 0.05 USD/person"
BLOCK,USEIT.CONSULTING
block.useit.consulting.title,"Consulting"
block.useit.consulting.price.consultation.desc,"Consultation"
block.useit.consulting.price.consultation.sum,"30 USD"
block.useit.consulting.price.specification.desc,"Drawing up specification"
block.useit.consulting.price.specification.sum,"from 60 USD"
block.useit.consulting.price.strategy.desc,"Elaboration development strategy"
block.useit.consulting.price.strategy.sum,"from 75 USD"
block.useit.consulting.price.statistics.desc,"Client actions statistics"
block.useit.consulting.price.statistics.sum,"from 75 USD"
block.useit.consulting.price.interview.desc,"Interview"
block.useit.consulting.price.interview.sum,"from 30 USD"
block.useit.consulting.price.audit.desc,"Complex audit of the project"
block.useit.consulting.price.audit.sum,"175 USD"
BLOCK,SCREENS
block.screens.1,"/img/screens/1.PNG"
block.screens.2,"/img/screens/2.PNG"
block.screens.3,"/img/screens/3.PNG"
block.screens.4,"/img/screens/5.PNG"
block.screens.5,"/img/screens/4.PNG"
block.screens.6,"/img/screens/6.PNG"
BLOCK,SUBSCRIBE
block.subscribe.title,"It isn't clear what to ask?"
block.subscribe.desc,"Anything terrible. <br>I will call you as soon as there is a free minute."
block.subscribe.form.title,"Your contact number"
block.subscribe.form.send,"Send"
BLOCK,EMPLOYERS
block.employers.title,"Employers"
block.employers.desc,"Trust only yourself. Call for recommendation."
block.employers.camelotpay.title,"CamelotPay"
block.employers.camelotpay.desc,"The English company Camelot Consulting provides services in the sphere of processing of online payments. <br>Key directions: internet acquiring, payment gateways, SMS billing."
block.employers.webtransfercard.title,"WebtransferCard"
block.employers.webtransfercard.desc,"The commercial bank focused completely on remote servicing, which does not have retail departments and ATMs. A main product are plastic and virtual VISA cards."
block.employers.playflock.title,"PlayFlock"
block.employers.playflock.desc,"One of market leaders of development of games on social networks.<br>Actively develops a segment of applications for mobile devices."
block.employers.qsoft.title,"QSoft"
block.employers.qsoft.desc,"Develops and supports the websites and online stores, enterprise portals, integrates the websites with external systems, develops projects under high loadings."
BLOCK,DOWNLOAD
block.download.title,"Web development it is simple!"
BLOCK,CONTACT
block.contact.desc,"Remember!  <br>Urgent affairs are always solved by phone."
block.contact.form.name,"Your name"
block.contact.form.feedback,"Way and contact for feedback"
block.contact.form.message,"Shortly about a problem"
block.contact.form.submit,"Send"
BLOCK,MODAL
block.modal.thanks_for_request,"Thanks for the request!"
block.modal.message.success,"This message already in my phone!"
block.modal.phone.success,"I already dial number!"
